"CUSTOMERNAME","MonetaryValue","AvgMonetaryValue","Frequency","last_order_date","max_order_date","Recency","rfm_recency","rfm_frequency","rfm_monetary","rfm_cell","rfm_cell_string","rfm_level"
"Classic Gift Ideas, Inc",67506.96999999999,3214.6176190476185,21,"2004-10-14 00:00:00","2005-05-31 00:00:00",229,2,2,1,5,"221","Low Level Customer"
"Osaka Souveniers Co.",67605.07,3380.2535000000003,20,"2004-04-13 00:00:00","2005-05-31 00:00:00",413,1,2,1,4,"121","Low Level Customer"
"Daedalus Designs Imports",69052.41,3452.6205,20,"2004-02-21 00:00:00","2005-05-31 00:00:00",465,1,2,1,4,"121","Low Level Customer"
"Alpha Cognac",70488.44,3524.422,20,"2005-03-28 00:00:00","2005-05-31 00:00:00",64,4,2,2,8,"422","Mid Level Customer"
"Diecast Collectables",70859.78,3936.6544444444444,18,"2004-04-26 00:00:00","2005-05-31 00:00:00",400,1,1,2,4,"112","Low Level Customer"
"Quebec Home Shopping Network",74204.79,3372.9449999999997,22,"2005-05-01 00:00:00","2005-05-31 00:00:00",30,4,2,2,8,"422","Mid Level Customer"
"Mini Wheels Co.",74476.18,3546.4847619047614,21,"2004-11-18 00:00:00","2005-05-31 00:00:00",194,2,2,2,6,"222","Mid Level Customer"
"Royal Canadian Collectables, Ltd.",74634.84999999999,2870.5711538461537,26,"2004-08-20 00:00:00","2005-05-31 00:00:00",284,1,2,2,5,"122","Low Level Customer"
"Marseille Mini Autos",74936.14,2997.4456,25,"2005-01-06 00:00:00","2005-05-31 00:00:00",145,3,2,2,7,"322","Mid Level Customer"
"Petit Auto",74972.52,2998.9008000000003,25,"2005-05-30 00:00:00","2005-05-31 00:00:00",1,4,2,2,8,"422","Mid Level Customer"
"Canadian Gift Exchange Network",75238.92,3419.950909090909,22,"2004-10-22 00:00:00","2005-05-31 00:00:00",221,2,2,2,6,"222","Mid Level Customer"
"Volvo Model Replicas, Co",75754.88,3987.0989473684212,19,"2004-11-19 00:00:00","2005-05-31 00:00:00",193,2,1,2,5,"212","Low Level Customer"
"Classic Legends Inc.",77795.2,3889.7599999999998,20,"2004-11-21 00:00:00","2005-05-31 00:00:00",191,2,2,2,6,"222","Mid Level Customer"
"giftsbymail.co.uk",78240.83999999998,3009.2630769230764,26,"2004-11-01 00:00:00","2005-05-31 00:00:00",211,2,3,2,7,"232","Mid Level Customer"
"Enaco Distributors",78411.86000000002,3409.2113043478266,23,"2004-11-24 00:00:00","2005-05-31 00:00:00",188,2,2,2,6,"222","Mid Level Customer"
"Lyon Souveniers",78570.34000000001,3928.5170000000007,20,"2005-03-17 00:00:00","2005-05-31 00:00:00",75,4,2,2,8,"422","Mid Level Customer"
"Norway Gifts By Mail, Co.",79224.23,3301.009583333333,24,"2004-08-21 00:00:00","2005-05-31 00:00:00",283,1,2,2,5,"122","Low Level Customer"
"Super Scale Inc.",79472.07,4674.827647058824,17,"2004-05-04 00:00:00","2005-05-31 00:00:00",392,1,1,2,4,"112","Low Level Customer"
"Mini Caravy",80438.48,4233.604210526316,19,"2005-04-14 00:00:00","2005-05-31 00:00:00",47,4,1,2,7,"412","Mid Level Customer"
"Collectables For Less Inc.",81577.98,3399.0825,24,"2005-01-20 00:00:00","2005-05-31 00:00:00",131,3,2,2,7,"322","Mid Level Customer"
"Signal Gift Stores",82751.08000000002,2853.48551724138,29,"2004-11-29 00:00:00","2005-05-31 00:00:00",183,3,3,2,8,"332","Mid Level Customer"
"Gifts4AllAges.com",83209.88,3200.38,26,"2005-05-06 00:00:00","2005-05-31 00:00:00",25,4,3,2,9,"432","Mid Level Customer"
"Tekni Collectables Inc.",83228.19,3963.247142857143,21,"2005-04-03 00:00:00","2005-05-31 00:00:00",58,4,2,2,8,"422","Mid Level Customer"
"Motor Mint Distributors Inc.",83682.16,3638.3547826086956,23,"2004-11-17 00:00:00","2005-05-31 00:00:00",195,2,2,2,6,"222","Mid Level Customer"
"Blauer See Auto, Co.",85171.58999999998,3871.4359090909084,22,"2004-11-05 00:00:00","2005-05-31 00:00:00",207,2,2,2,6,"222","Mid Level Customer"
"Mini Classics",85555.98999999998,3290.614999999999,26,"2004-10-15 00:00:00","2005-05-31 00:00:00",228,2,3,2,7,"232","Mid Level Customer"
"Collectable Mini Designs Co.",87489.22999999998,3499.5691999999995,25,"2004-02-26 00:00:00","2005-05-31 00:00:00",460,1,2,3,6,"123","Mid Level Customer"
"Vitachrome Inc.",88041.26000000001,3521.6504000000004,25,"2004-11-05 00:00:00","2005-05-31 00:00:00",207,2,2,3,7,"223","Mid Level Customer"
"Stylish Desk Decors, Co.",88804.5,3415.5576923076924,26,"2004-12-03 00:00:00","2005-05-31 00:00:00",179,3,3,3,9,"333","Mid Level Customer"
"Auto Canal Petit",93170.65999999999,3450.7651851851847,27,"2005-04-07 00:00:00","2005-05-31 00:00:00",54,4,3,3,10,"433","High Level Customer"
"Cruz & Sons Co.",94015.73,3615.9896153846153,26,"2004-11-16 00:00:00","2005-05-31 00:00:00",196,2,3,3,8,"233","Mid Level Customer"
"Amica Models & Co.",94117.26000000002,3619.8946153846164,26,"2004-09-09 00:00:00","2005-05-31 00:00:00",264,1,3,3,7,"133","Mid Level Customer"
"La Corne D'abondance, Co.",97203.68000000001,4226.24695652174,23,"2004-11-20 00:00:00","2005-05-31 00:00:00",192,2,2,3,7,"223","Mid Level Customer"
"FunGiftIdeas.com",98923.73000000003,3804.758846153847,26,"2005-03-03 00:00:00","2005-05-31 00:00:00",89,3,3,3,9,"333","Mid Level Customer"
"Toms Spezialitten, Ltd",100306.58,3857.9453846153847,26,"2004-10-16 00:00:00","2005-05-31 00:00:00",227,2,3,3,8,"233","Mid Level Customer"
"Heintze Collectables",100595.54999999999,3725.7611111111105,27,"2004-10-22 00:00:00","2005-05-31 00:00:00",221,2,3,3,8,"233","Mid Level Customer"
"Gift Depot Inc.",101894.79000000001,4075.7916000000005,25,"2005-05-05 00:00:00","2005-05-31 00:00:00",26,4,2,3,9,"423","Mid Level Customer"
"Marta's Replicas Co.",103080.37999999999,3817.7918518518513,27,"2004-10-13 00:00:00","2005-05-31 00:00:00",230,1,3,3,7,"133","Mid Level Customer"
"Oulu Toy Supplies, Inc.",104370.38,3261.574375,32,"2005-01-31 00:00:00","2005-05-31 00:00:00",120,3,3,3,9,"333","Mid Level Customer"
"Toys4GrownUps.com",104561.95999999998,3485.398666666666,30,"2005-01-12 00:00:00","2005-05-31 00:00:00",139,3,3,3,9,"333","Mid Level Customer"
"Mini Creations Ltd.",108951.13,3112.8894285714287,35,"2005-01-07 00:00:00","2005-05-31 00:00:00",144,3,4,3,10,"343","High Level Customer"
"Toys of Finland, Co.",111250.37999999996,3708.3459999999986,30,"2005-02-09 00:00:00","2005-05-31 00:00:00",111,3,3,3,9,"333","Mid Level Customer"
"Herkku Gifts",111640.28,3849.6648275862067,29,"2004-09-03 00:00:00","2005-05-31 00:00:00",270,1,3,3,7,"133","Mid Level Customer"
"Suominen Souveniers",113961.14999999997,3798.704999999999,30,"2005-01-06 00:00:00","2005-05-31 00:00:00",145,3,3,3,9,"333","Mid Level Customer"
"Handji Gifts& Co",115498.73000000001,3208.298055555556,36,"2005-04-23 00:00:00","2005-05-31 00:00:00",38,4,4,3,11,"443","High Level Customer"
"Baane Mini Imports",116599.19,3643.7246875,32,"2004-11-05 00:00:00","2005-05-31 00:00:00",207,2,3,3,8,"233","Mid Level Customer"
"Vida Sport, Ltd",117713.55999999998,3797.211612903225,31,"2004-08-30 00:00:00","2005-05-31 00:00:00",274,1,3,3,7,"133","Mid Level Customer"
"UK Collectables, Ltd.",118008.26999999999,4069.250689655172,29,"2005-04-08 00:00:00","2005-05-31 00:00:00",53,4,3,3,10,"433","High Level Customer"
"Tokyo Collectables, Ltd",120562.73999999996,3767.585624999999,32,"2005-04-22 00:00:00","2005-05-31 00:00:00",39,4,3,3,10,"433","High Level Customer"
"Corrida Auto Replicas, Ltd",120615.28,3769.2275,32,"2004-11-01 00:00:00","2005-05-31 00:00:00",211,2,3,4,9,"234","Mid Level Customer"
"Technics Stores Inc.",120783.07,3552.443235294118,34,"2005-01-05 00:00:00","2005-05-31 00:00:00",146,3,4,4,11,"344","High Level Customer"
"Diecast Classics Inc.",122138.14000000001,3939.9400000000005,31,"2005-05-30 00:00:00","2005-05-31 00:00:00",1,4,3,4,11,"434","High Level Customer"
"Online Diecast Creations Co.",131685.30000000002,3873.09705882353,34,"2004-11-04 00:00:00","2005-05-31 00:00:00",208,2,4,4,10,"244","High Level Customer"
"Scandinavian Gift Ideas",134259.33000000002,3533.1402631578953,38,"2005-03-03 00:00:00","2005-05-31 00:00:00",89,3,4,4,11,"344","High Level Customer"
"Reims Collectables",135042.94,3293.7302439024393,41,"2005-03-30 00:00:00","2005-05-31 00:00:00",62,4,4,4,12,"444","High Level Customer"
"Rovelli Gifts",137955.72000000003,2874.077500000001,48,"2004-11-12 00:00:00","2005-05-31 00:00:00",200,2,4,4,10,"244","High Level Customer"
"L'ordine Souveniers",142601.33000000002,3656.4443589743596,39,"2005-05-10 00:00:00","2005-05-31 00:00:00",21,4,4,4,12,"444","High Level Customer"
"Saveley & Henriot, Co.",142874.25000000003,3484.7378048780497,41,"2004-03-02 00:00:00","2005-05-31 00:00:00",455,1,4,4,9,"144","Mid Level Customer"
"Danish Wholesale Imports",145041.6,4028.9333333333334,36,"2005-04-15 00:00:00","2005-05-31 00:00:00",46,4,4,4,12,"444","High Level Customer"
"Salzburg Collectables",149798.63,3744.9657500000003,40,"2005-05-17 00:00:00","2005-05-31 00:00:00",14,4,4,4,12,"444","High Level Customer"
"Corporate Gift Ideas Co.",149882.49999999997,3655.6707317073165,41,"2005-02-23 00:00:00","2005-05-31 00:00:00",97,3,4,4,11,"344","High Level Customer"
"Souveniers And Things Co.",151570.98000000004,3295.021304347827,46,"2005-05-29 00:00:00","2005-05-31 00:00:00",2,4,4,4,12,"444","High Level Customer"
"Anna's Decorations, Ltd",153996.13000000003,3347.7419565217397,46,"2005-03-09 00:00:00","2005-05-31 00:00:00",83,3,4,4,11,"344","High Level Customer"
"AV Stores, Co.",157807.80999999997,3094.270784313725,51,"2004-11-17 00:00:00","2005-05-31 00:00:00",195,2,4,4,10,"244","High Level Customer"
"The Sharp Gifts Warehouse",160010.26999999996,4000.256749999999,40,"2005-04-22 00:00:00","2005-05-31 00:00:00",39,4,4,4,12,"444","High Level Customer"
"Land of Toys Inc.",164069.44000000003,3348.3559183673474,49,"2004-11-15 00:00:00","2005-05-31 00:00:00",197,2,4,4,10,"244","High Level Customer"
"Dragon Souveniers, Ltd.",172989.68000000008,4023.01581395349,43,"2005-03-02 00:00:00","2005-05-31 00:00:00",90,3,4,4,11,"344","High Level Customer"
"La Rochelle Gifts",180124.9,3398.5830188679242,53,"2005-05-31 00:00:00","2005-05-31 00:00:00",0,4,4,4,12,"444","High Level Customer"
"Muscle Machine Inc",197736.93999999997,4119.519583333333,48,"2004-12-01 00:00:00","2005-05-31 00:00:00",181,3,4,4,11,"344","High Level Customer"
"Australian Collectors, Co.",200995.40999999997,3654.4619999999995,55,"2004-11-29 00:00:00","2005-05-31 00:00:00",183,3,4,4,11,"344","High Level Customer"
"Mini Gifts Distributors Ltd.",654858.06,3638.1003333333338,180,"2005-05-29 00:00:00","2005-05-31 00:00:00",2,4,4,4,12,"444","High Level Customer"
"Euro Shopping Channel",912294.1100000002,3522.371081081082,259,"2005-05-31 00:00:00","2005-05-31 00:00:00",0,4,4,4,12,"444","High Level Customer"
